en,zh-tw,pos,description
Bahraini dinar,巴林戴納,noun,貨幣名稱
Baku,巴庫,noun,洲、國家/地區、城市名稱
Bamako,巴馬科,noun,洲、國家/地區、城市名稱
Bambara,班巴拉文,noun,語言名稱，介面中稱文不稱語
Bangkok,曼谷,noun,洲、國家/地區、城市名稱
Bangladeshi taka,孟加拉塔卡,noun,貨幣名稱
Bangui,班基,noun,洲、國家/地區、城市名稱
Banjul,班竹,noun,洲、國家/地區、城市名稱
Barbadian dollar,巴貝多元,noun,貨幣名稱
Barbados,巴貝多,noun,洲、國家/地區、城市名稱
Barnaul,巴爾瑙爾,noun,洲、國家/地區、城市名稱
base,目錄起點,noun,適用於網站網址結構相關內容
Bashkir,巴什喀爾文,noun,語言名稱，介面中稱文不稱語
Basque,巴斯克文,noun,語言名稱，介面中稱文不稱語
bbPress,bbPress,noun,
bearer,持有人,noun,
Beirut,貝魯特,noun,洲、國家/地區、城市名稱
Belarusian,白羅斯文,noun,語言名稱，介面中稱文不稱語
Belarusian ruble,白羅斯盧布,noun,貨幣名稱
Belarusian ruble (old),白羅斯盧布 (舊幣),noun,貨幣名稱
Belem,貝倫,noun,洲、國家/地區、城市名稱
Belfast,貝爾發斯特,noun,洲、國家/地區、城市名稱
Belgrade,貝爾格勒,noun,洲、國家/地區、城市名稱
Belize,貝里斯,noun,洲、國家/地區、城市名稱
Belize dollar,貝里斯元,noun,貨幣名稱
benchmark,效能評定,verb,
benchmark,效能評定,noun,
Bengali,孟加拉文,noun,語言名稱，介面中稱文不稱語
Bengali (Bangladesh),孟加拉文 (孟加拉),noun,語言名稱，介面中稱文不稱語
BeReal,BeReal,noun,社交網路服務平台名稱
Berlin,柏林,noun,洲、國家/地區、城市名稱
Bermuda,百慕達,noun,洲、國家/地區、城市名稱
Bermudian dollar,百慕達元,noun,貨幣名稱
Beulah,比尤拉,noun,洲、國家/地區、城市名稱
Bhutanese ngultrum,不丹努爾特魯姆,noun,貨幣名稱
Bihari,比哈文,noun,語言名稱，介面中稱文不稱語
billing,帳單,noun,
binary,二進位,noun,
binary file,二進位檔案,noun,
bind,繫結,verb,
binding,繫結,noun,
Bishkek,比斯凱克,noun,洲、國家/地區、城市名稱
Bislama,比斯拉馬文,noun,語言名稱，介面中稱文不稱語
Bissau,比索,noun,洲、國家/地區、城市名稱
Bitbucket,Bitbucket,noun,原始程式碼存放庫服務名稱
Bitcoin,比特幣,noun,貨幣名稱
black list,封鎖清單,noun,
blacklist,封鎖清單,noun,
Blanc-Sablon,布郎薩布隆,noun,洲、國家/地區、城市名稱
Blantyre,布藍泰爾,noun,洲、國家/地區、城市名稱
block editor,區塊編輯器,noun,適用於區塊編輯器及全站編輯相關內容
block pattern,區塊版面配置,noun,適用於區塊編輯器及全站編輯相關內容
block type,區塊類型,noun,適用於區塊編輯器及全站編輯相關內容
Blogger,Blogger,noun,內容發佈平台名稱
Boa Vista,博阿維斯塔島,noun,洲、國家/地區、城市名稱
Bogota,波哥大,noun,洲、國家/地區、城市名稱
Boise,波夕,noun,洲、國家/地區、城市名稱
bold,粗體,noun,適用於字型相關內容
Bolivian boliviano,玻利維亞諾,noun,貨幣名稱
bookmarklet,書籤小工具,noun,
bootstrap,啟動程序,noun,
Bootstrap,Bootstrap,noun,網站開發架構
border,框線,noun,
Bosnia and Herzegovina convertible mark,波士尼亞與赫塞哥維納可兌換馬克,noun,貨幣名稱
Bosnian,波士尼亞文,noun,語言名稱，介面中稱文不稱語
Botswana pula,波札那普拉,noun,貨幣名稱
Bougainville,布干維爾島,noun,洲、國家/地區、城市名稱
Bratislava,布拉提斯拉瓦,noun,洲、國家/地區、城市名稱
Brazilian real,巴西雷亞爾,noun,貨幣名稱
Brazzaville,布拉薩市,noun,洲、國家/地區、城市名稱
breadcrumb,導覽標記,noun,
break point,中斷點,noun,適用於網頁設計
breakpoint,中斷點,noun,適用於網頁設計
Breton,布里敦文,noun,語言名稱，介面中稱文不稱語
Brisbane,布里斯本,noun,洲、國家/地區、城市名稱
Broken Hill,布羅肯希爾,noun,洲、國家/地區、城市名稱
browse,瀏覽,verb,
browser,瀏覽器,noun,洲、國家/地區、城市名稱
Brunei,汶萊,noun,洲、國家/地區、城市名稱
Brunei dollar,汶萊元,noun,貨幣名稱
Brussels,布魯塞爾,noun,洲、國家/地區、城市名稱
brute force,暴力密碼破解,verb,
brute force,暴力密碼破解,noun,
Bucharest,布加勒斯特,noun,洲、國家/地區、城市名稱
Budapest,布達佩斯,noun,洲、國家/地區、城市名稱
BuddyPress,BuddyPress,noun,
Buenos Aires,布宜諾斯艾利斯,noun,洲、國家/地區、城市名稱
buffer,緩衝區,noun,
buffer,緩衝,noun,
bug,程式碼錯誤,noun,
built-in,內建,adjective,
Bujumbura,布松布拉,noun,洲、國家/地區、城市名稱
Bulgarian,保加利亞文,noun,語言名稱，介面中稱文不稱語
Bulgarian lev,保加利亞列弗,noun,貨幣名稱
bulk,批次,adjective,
bulk action,批次操作,verb,
bulk actions,批次操作,noun,
bullet list,項目符號清單,noun,適用於排版相關內容
bundle,套件組合,noun,
bundle,搭售方案,noun,
bundle,方案,noun,
bundle,搭售,noun,
Burmese,緬甸文,noun,語言名稱，介面中稱文不稱語
Burmese kyat,緬元,noun,貨幣名稱
Burundian franc,蒲隆地法郎,noun,貨幣名稱
Busingen,布辛根,noun,洲、國家/地區、城市名稱
button,按鈕,noun,
cache,快取,noun,
Cairo,開羅,noun,洲、國家/地區、城市名稱
Calcutta,加爾各答,noun,洲、國家/地區、城市名稱
call,呼叫,verb,適用於程式開發
call,呼叫,noun,適用於程式開發
call to action,行動號召,noun,
callback,回呼,verb,適用於程式開發
callback,回呼,noun,適用於程式開發
caller,呼叫端,noun,適用於程式開發
call-to-action,行動號召,noun,
Cambodian,柬埔寨文,noun,語言名稱，介面中稱文不稱語
Cambodian riel,柬埔寨瑞爾,noun,貨幣名稱
Cambridge Bay,劍橋灣,noun,洲、國家/地區、城市名稱
Campo Grande,格蘭德營,noun,洲、國家/地區、城市名稱
Canadian dollar,加拿大元,noun,貨幣名稱
Canary,加那利群島,noun,洲、國家/地區、城市名稱
Canberra,坎培拉,noun,洲、國家/地區、城市名稱
Cancun,坎昆,noun,洲、國家/地區、城市名稱
canvas,編輯區,noun,
Cape Verde,維德角,noun,洲、國家/地區、城市名稱
Cape Verdean escudo,維德角埃斯庫多,noun,貨幣名稱
Caracas,卡拉卡斯,noun,洲、國家/地區、城市名稱
carousel,輪轉,noun,
carousel view,輪轉檢視,noun,適用於檢視方式名稱
Cart,購物車,noun,
Casablanca,卡薩布蘭卡,noun,洲、國家/地區、城市名稱
cascading style sheets,階層式樣式表,noun,
case sensitive,區分大小寫,noun,
case-sensitive,區分大小寫,noun,
Casey,開西站,noun,洲、國家/地區、城市名稱
Catalan,加泰羅尼亞文,noun,語言名稱，介面中稱文不稱語
Catamarca,卡達馬卡,noun,洲、國家/地區、城市名稱
category,分類,noun,
category base,分類目錄起點,noun,
caution,警告,noun,
Cayenne,開雲,noun,洲、國家/地區、城市名稱
Cayman,開曼群島,noun,洲、國家/地區、城市名稱
Cayman Islands dollar,開曼群島元,noun,貨幣名稱
CDN,內容傳遞網路,noun,
Cebuano,宿霧文,noun,語言名稱，介面中稱文不稱語
cell,儲存格,noun,
Center,中心市,noun,洲、國家/地區、城市名稱
Central African CFA franc,中非法郎,noun,貨幣名稱
Central Kurdish,中部庫德文,noun,語言名稱，介面中稱文不稱語
certificate,憑證,noun,
Ceuta,修達,noun,洲、國家/地區、城市名稱
CFP franc,太平洋法郎,noun,貨幣名稱
Chagos,查哥斯,noun,洲、國家/地區、城市名稱
chain,鏈結,noun,
Chamorro,查莫羅文,noun,語言名稱，介面中稱文不稱語
changelog,變更記錄,noun,
channel,頻道,noun,
character,字元,noun,
character set,字元集,noun,
chart,圖表,noun,
Chatham,查塔姆群島,noun,洲、國家/地區、城市名稱
cheat sheet,速查表,noun,
Cheatin' uh?,很抱歉，無法進行這項操作。,verb,
Cheatin&#8217; uh?,很抱歉，無法進行這項操作。,verb,
Cheating uh?,很抱歉，無法進行這項操作。,verb,
Chechen,車臣文,noun,語言名稱，介面中稱文不稱語
checkbox,核取方塊,noun,
checker,檢查程式,noun,
checklist,檢查清單,noun,
checkout,結帳,noun,
checkout,簽出,verb,適用於 SVN、Git 或 GitHub
Chicago,芝加哥,noun,洲、國家/地區、城市名稱
Chichewa,齊切瓦文,noun,語言名稱，介面中稱文不稱語
Chihuahua,赤瓦瓦,noun,洲、國家/地區、城市名稱
child theme,子佈景主題,noun,
Chilean peso,智利披索,noun,貨幣名稱
Chinese,中文,noun,語言名稱，介面中稱文不稱語
Chinese (China),中文 (中國),noun,語言名稱，介面中稱文不稱語
Chinese (Hong Kong),中文 (香港),noun,語言名稱，介面中稱文不稱語
Chinese (Taiwan),中文 (台灣),noun,語言名稱，介面中稱文不稱語
Chinese yuan,中國人民幣,noun,貨幣名稱
Chisinau,奇西瑙,noun,洲、國家/地區、城市名稱
Chita,赤塔,noun,洲、國家/地區、城市名稱
Choibalsan,喬巴山,noun,洲、國家/地區、城市名稱
Chongqing,重慶,noun,洲、國家/地區、城市名稱
choose,選取,verb,
Christmas,聖誕島,noun,洲、國家/地區、城市名稱
Chungking,重慶,noun,洲、國家/地區、城市名稱
Church Slavic,古教會斯拉夫文,noun,語言名稱，介面中稱文不稱語
Chuuk,楚克島,noun,洲、國家/地區、城市名稱
Chuvash,楚瓦什文,noun,語言名稱，介面中稱文不稱語
circle,圓圈,noun,適用於形狀
citation,引文,noun,
CJK Decimal,中日韓文小數,noun,語言名稱，介面中稱文不稱語
CJK Ideographic,中日韓表意字元,noun,語言名稱，介面中稱文不稱語
classic,舊式,adjective,
classic,傳統,adjective,
classic editor,傳統編輯器,noun,
click,點擊,verb,操作鍵盤、滑鼠及螢幕
client,用戶端,noun,
client,客戶,noun,
Clubhouse,Clubhouse,noun,社交網路服務平台名稱
CMS,CMS,noun,一般來說，CMS 會是 Content Management System (內容管理系統) 的縮寫
Cocos,可可斯群島,noun,洲、國家/地區、城市名稱
Code,程式碼,noun,
code editor,程式碼編輯器,noun,
code snippet,程式碼片段,noun,
codebase,程式碼基底,noun,適用於程式開發
collaborate,協同合作,verb,
collaboration,協同合作,noun,
collapse,收合,verb,
collation,定序,noun,適用於程式開發及資料庫
Colombian peso,哥倫比亞披索,noun,貨幣名稱
Colombo,可倫坡,noun,洲、國家/地區、城市名稱
colon,冒號,noun,適用於標點符號 :
color,色彩,noun,
color scheme,色彩配置,noun,
column,行,noun,
column,資料行,noun,
comfirmation,確認,noun,
comma,逗號,noun,"適用於標點符號 ,"
command prompt,命令提示字元,noun,
comment,留言,noun,
ComodRivadavia,科木多洛,noun,洲、國家/地區、城市名稱
Comorian franc,葛摩法郎,noun,貨幣名稱
Comoro,葛摩,noun,洲、國家/地區、城市名稱
compile,編譯,verb,
compliance,合規性,noun,
component,元件,noun,
Conakry,科納克里,noun,洲、國家/地區、城市名稱
config file,組態檔案,noun,
configure,組態,verb,
confirm,確認,verb,
Congolese franc,剛果法郎,noun,貨幣名稱
connection type,連線類型,noun,
constant,常數,noun,適用於程式開發
constructor,建構函式,noun,
contact form,聯絡表單,noun,
container,容器,noun,
content,內容,noun,
content delivery network,內容傳遞網路,noun,
Content Management System,內容管理系統,noun,
continue,繼續,verb,
contributor,投稿者,noun,適用於 WordPress 預設使用者角色
contributor,參與者,noun,
control,控制項,noun,適用於程式開發
control,控制,verb,
Cookie,Cookie,noun,適用於搜尋引擎及瀏覽器相關內容
Cookies,Cookie,noun,適用於搜尋引擎及瀏覽器相關內容
coordinate,座標,noun,
Copenhagen,哥本哈根,noun,洲、國家/地區、城市名稱
Coral Harbour,珊瑚港,noun,洲、國家/地區、城市名稱
Cordoba,科多瓦,noun,洲、國家/地區、城市名稱
Core,核心程式,noun,適用於說明 WordPress 核心程式
Cornish,康沃耳文,noun,語言名稱，介面中稱文不稱語
Corsican,科西嘉文,noun,語言名稱，介面中稱文不稱語
Costa Rica,哥斯大黎加,noun,洲、國家/地區、城市名稱
Costa Rican col&oacute;n,哥斯大黎加科郎,noun,貨幣名稱
counter,計數器,noun,
coupon code,優惠代碼,noun,
CPT,CPT,noun,CPT 通常是 Custom Post Type (自訂內容類型) 的縮寫
CPT,自訂內容類型,noun,CPT 通常是 Custom Post Type (自訂內容類型) 的縮寫
crawl,檢索,noun,
crawler,檢索器,noun,
create,建立,verb,
Creative Commons,創用 CC,noun,
credentials,認證,noun,
Cree,克里文,noun,語言名稱，介面中稱文不稱語
Creston,克雷斯頓,noun,洲、國家/地區、城市名稱
Croatian,克羅埃西亞文,noun,語言名稱，介面中稱文不稱語
Croatian kuna,克羅埃西亞庫納,noun,貨幣名稱
crop,裁剪,noun,
CSS,CSS,noun,CSS 是 Cascading Style Sheets (階層式樣式表) 的縮寫
CTA,行動號召,noun,
Cuban convertible peso,古巴可兌換披索,noun,貨幣名稱
Cuban peso,古巴披索,noun,貨幣名稱
Cuiaba,古雅巴,noun,洲、國家/地區、城市名稱
Curacao,古拉果,noun,洲、國家/地區、城市名稱
current,目前,adjective,
Currie,柯里,noun,洲、國家/地區、城市名稱
custom,自訂,adjective,
custom color,自訂色彩,noun,
custom field,自訂欄位,noun,
custom post type,自訂內容類型,noun,
customer,客戶,noun,
customize,自訂,verb,
customizer,外觀自訂器,noun,
Czech,捷克文,noun,語言名稱，介面中稱文不稱語
Czech koruna,捷克克朗,noun,貨幣名稱
Dacca,達卡,noun,洲、國家/地區、城市名稱
Dakar,達卡,noun,洲、國家/地區、城市名稱
Damascus,大馬士革,noun,洲、國家/地區、城市名稱
Danish,丹麥文,noun,語言名稱，介面中稱文不稱語
Danish krone,丹麥克朗,noun,貨幣名稱
Danmarkshavn,格陵蘭,noun,洲、國家/地區、城市名稱
Dar es Salaam,達萊撒蘭,noun,洲、國家/地區、城市名稱
dark mode,深色模式,noun,
Darwin,達爾文,noun,洲、國家/地區、城市名稱
dashboard,控制台,noun,
dashboard widget,控制台小工具,noun,
data,資料,noun,
data erasure request,個人資料清除要求,noun,
database,資料庫,noun,
database collation,資料庫定序,noun,適用於資料庫
database host,資料庫主機位址,noun,
database name,資料庫名稱,noun,
date format,日期格式,noun,
Davis,戴維斯站,noun,洲、國家/地區、城市名稱
Dawson,道森市,noun,洲、國家/地區、城市名稱
Dawson Creek,道森河市,noun,洲、國家/地區、城市名稱
deactivate,停用,verb,
Debian,Debian,noun,Linux 發行版本名稱
debug,偵錯,verb,
decimal,小數,noun,
decimal leading zero,以零開頭小數,noun,
declare,宣告,verb,
decompile,反向編譯,verb,
default,預設,adjective,
default,預設值,noun,
default theme,預設佈景主題,noun,
delete,刪除,verb,
Denver,丹佛,noun,洲、國家/地區、城市名稱
deploy,部署,verb,
deployment,部署,noun,
deprecated,淘汰不用,adjective,
descending,降冪,adjective,
detail,詳細資料,noun,
details,詳細資料,noun,
Detroit,底特律,noun,洲、國家/地區、城市名稱
develop,開發,verb,
developer,開發者,noun,
development,開發,noun,
development,開發工作,noun,
device,裝置,noun,
Dhaka,達卡,noun,洲、國家/地區、城市名稱
Dhivehi,迪培希文,noun,語言名稱，介面中稱文不稱語
Dili,帝利,noun,洲、國家/地區、城市名稱
directive,指示詞,noun,
directory,目錄,noun,
disable,停用,verb,
disassemble,反向組譯,verb,
disc,圓點,noun,適用於形狀
discard,捨棄,verb,
discount,折扣,noun,
display,顯示,verb,
display,顯示方式,noun,
Divehi,迪維西文,noun,語言名稱，介面中稱文不稱語
divider,分隔線,noun,
Djibouti,吉布地,noun,洲、國家/地區、城市名稱
Djiboutian franc,吉布地法郎,noun,貨幣名稱
domain,網域,noun,
domain,網域名稱,noun,
domain name,網域名稱,noun,
Dominica,多明尼加,noun,洲、國家/地區、城市名稱
Dominican peso,多明尼加披索,noun,貨幣名稱
donate,贊助,verb,
donation,贊助,noun,
Douala,杜阿拉,noun,洲、國家/地區、城市名稱
double click,點擊兩下,noun,
double-click,點擊兩下,noun,
down arrow key,向下鍵,noun,鍵盤按鍵名稱
download,下載,verb,
draft,草稿,noun,
drag,拖曳,noun,
drag and drop,拖放,noun,
dropin,強化外掛,noun,
drop-in,強化外掛,noun,
Dubai,杜拜,noun,洲、國家/地區、城市名稱
Dublin,都柏林,noun,洲、國家/地區、城市名稱
DumontDUrville,迪蒙·迪維爾站,noun,洲、國家/地區、城市名稱
Dushanbe,杜尚貝,noun,洲、國家/地區、城市名稱
Dutch,荷蘭文,noun,語言名稱，介面中稱文不稱語
Dutch (Belgium),荷蘭文 (比利時),noun,語言名稱，介面中稱文不稱語
Dutch (Formal),荷蘭文 (正式),noun,語言名稱，介面中稱文不稱語
Dzongkha,宗卡文,noun,語言名稱，介面中稱文不稱語
E.g.,範例,noun,
Earthly Branch,地支,noun,
East Caribbean dollar,東加勒比元,noun,貨幣名稱
Easter,復活節島,noun,洲、國家/地區、城市名稱
eBay,eBay,noun,
eCommerce,電子商務,noun,
editor,編輯,noun,適用於 WordPress 預設使用者角色，同時也適用於其他狀況
editor,編輯器,noun,
editor style,編輯器樣式,noun,
Edmonton,艾德蒙頓,noun,洲、國家/地區、城市名稱
education,教育,noun,
Efate,愛發提,noun,洲、國家/地區、城市名稱
Egyptian pound,埃及鎊,noun,貨幣名稱
Eirunepe,埃魯內佩,noun,洲、國家/地區、城市名稱
El Aaiun,阿尤恩,noun,洲、國家/地區、城市名稱
El Salvador,薩爾瓦多,noun,洲、國家/地區、城市名稱
element,元素,noun,
email,電子郵件地址,noun,有時候開發者會將 Email Address 寫為 Email。請注意，Email 該譯為「電子郵件地址」時，就譯為「電子郵件地址」
email,電子郵件,noun,
email address,電子郵件地址,noun,
embed block,嵌入內容區塊,noun,適用於區塊編輯器、全站編輯相關內容
Emoji,Emoji 表情符號,noun,
emoticon,表情符號,noun,
empty value,空值,noun,
enable,啟用,verb,
encrypt,加密,verb,
encryption,加密,noun,
encryption,加密方式,noun,
Enderbury,恩德伯里島,noun,洲、國家/地區、城市名稱
English,英文,noun,語言名稱，介面中稱文不稱語
English (Australia),英文 (澳大利亞),noun,語言名稱，介面中稱文不稱語
English (Canada),英文 (加拿大),noun,語言名稱，介面中稱文不稱語
English (New Zealand),英文 (紐西蘭),noun,語言名稱，介面中稱文不稱語
English (South Africa),英文 (南非),noun,語言名稱，介面中稱文不稱語
English (UK),英文 (英國),noun,語言名稱，介面中稱文不稱語
English (United States),英文 (美國),noun,語言名稱，介面中稱文不稱語
enlarge,放大,verb,
Ensenada,恩瑟納達,noun,洲、國家/地區、城市名稱
enter,輸入,verb,
Enter,Enter 鍵,noun,鍵盤按鍵名稱
Eritrean nakfa,厄利垂亞奈克法,noun,貨幣名稱
error,錯誤,noun,
error message,錯誤訊息,noun,
Esperanto,世界文,noun,語言名稱，介面中稱文不稱語
Estonian,愛沙尼亞文,noun,語言名稱，介面中稱文不稱語
Etc,其他,noun,
Ethiopian birr,衣索比亞比爾,noun,貨幣名稱
Ethiopic,衣索比亞文,noun,語言名稱，介面中稱文不稱語
Eucla,尤克拉,noun,洲、國家/地區、城市名稱
Euro,歐元,noun,貨幣名稱
Europe,歐洲,noun,洲、國家/地區、城市名稱
Ewe,埃維文,noun,語言名稱，介面中稱文不稱語
excerpt,內容摘要,noun,
existing,現有,adjective,
expand,展開,verb,
export,匯出,verb,
export as,匯出為,verb,
extension,擴充功能,noun,
extension,副檔名,noun,
Facebook,Facebook,noun,社交網路服務平台名稱
Facebook Messenger,Facebook Messenger,noun,通訊軟體名稱
Faeroe,法羅群島,noun,洲、國家/地區、城市名稱
Fakaofo,法克奧佛,noun,洲、國家/地區、城市名稱
Falkland Islands pound,福克蘭群島鎊,noun,貨幣名稱
fallback,後援,noun,
fallback chain,後援鏈結,noun,
false positive,誤判,noun,
Famagusta,法馬古斯塔,noun,洲、國家/地區、城市名稱
FAQ,常見問題集,noun,
Faroe,法羅群島,noun,洲、國家/地區、城市名稱
Faroese,法羅文,noun,語言名稱，介面中稱文不稱語
fatal,嚴重,adjective,
fatal error,嚴重錯誤,noun,
favicon,網站圖示,noun,
favorites,我的最愛,noun,
featured,精選,adjective,
featured image,精選圖片,noun,
featured post,精選內容,noun,
feed,資訊提供,noun,
feedback,意見反應,noun,
field,欄位,noun,
field data,欄位資料,noun,
Fiji,斐濟,noun,洲、國家/地區、城市名稱
Fijian,斐濟文,noun,語言名稱，介面中稱文不稱語
Fijian dollar,斐濟元,noun,貨幣名稱
file,檔案,noun,
File Transfer Protocol,檔案傳輸通訊協定,noun,
filename,檔案名稱,noun,
filter,濾鏡,noun,適用於多媒體處理
filter,篩選器,noun,適用於程式開發
filter,篩選,verb,
filter,篩選條件,noun,
filter hook,篩選器勾點,noun,適用於區塊編輯器、全站編輯相關內容
