en,zh-tw,description
Brazilian real,巴西雷亞爾,貨幣名稱
Brazzaville,布拉薩市,洲、國家/地區、城市名稱
breadcrumb,導覽標記,
break point,中斷點,適用於網頁設計
breakpoint,中斷點,適用於網頁設計
Breton,布里敦文,語言名稱，介面中稱文不稱語
Brisbane,布里斯本,洲、國家/地區、城市名稱
Broken Hill,布羅肯希爾,洲、國家/地區、城市名稱
browse,瀏覽,
browser,瀏覽器,洲、國家/地區、城市名稱
Brunei,汶萊,洲、國家/地區、城市名稱
Brunei dollar,汶萊元,貨幣名稱
Brussels,布魯塞爾,洲、國家/地區、城市名稱
brute force,暴力密碼破解,
Bucharest,布加勒斯特,洲、國家/地區、城市名稱
Budapest,布達佩斯,洲、國家/地區、城市名稱
BuddyPress,BuddyPress,
Buenos Aires,布宜諾斯艾利斯,洲、國家/地區、城市名稱
buffer,緩衝區,
buffer,緩衝,
bug,程式碼錯誤,
built-in,內建,
Bujumbura,布松布拉,洲、國家/地區、城市名稱
Bulgarian,保加利亞文,語言名稱，介面中稱文不稱語
Bulgarian lev,保加利亞列弗,貨幣名稱
bulk,批次,
bulk action,批次操作,
bulk actions,批次操作,
bullet list,項目符號清單,適用於排版相關內容
bundle,套件組合,
bundle,搭售方案,
bundle,方案,
bundle,搭售,
Burmese,緬甸文,語言名稱，介面中稱文不稱語
Burmese kyat,緬元,貨幣名稱
Burundian franc,蒲隆地法郎,貨幣名稱
Busingen,布辛根,洲、國家/地區、城市名稱
button,按鈕,
cache,快取,
Cairo,開羅,洲、國家/地區、城市名稱
Calcutta,加爾各答,洲、國家/地區、城市名稱
call,呼叫,適用於程式開發
call to action,行動號召,
callback,回呼,適用於程式開發
caller,呼叫端,適用於程式開發
call-to-action,行動號召,
Cambodian,柬埔寨文,語言名稱，介面中稱文不稱語
Cambodian riel,柬埔寨瑞爾,貨幣名稱
Cambridge Bay,劍橋灣,洲、國家/地區、城市名稱
Campo Grande,格蘭德營,洲、國家/地區、城市名稱
Canadian dollar,加拿大元,貨幣名稱
Canary,加那利群島,洲、國家/地區、城市名稱
Canberra,坎培拉,洲、國家/地區、城市名稱
Cancun,坎昆,洲、國家/地區、城市名稱
canvas,編輯區,
Cape Verde,維德角,洲、國家/地區、城市名稱
Cape Verdean escudo,維德角埃斯庫多,貨幣名稱
Caracas,卡拉卡斯,洲、國家/地區、城市名稱
carousel,輪轉,
carousel view,輪轉檢視,適用於檢視方式名稱
Cart,購物車,
Casablanca,卡薩布蘭卡,洲、國家/地區、城市名稱
cascading style sheets,階層式樣式表,
case sensitive,區分大小寫,
case-sensitive,區分大小寫,
Casey,開西站,洲、國家/地區、城市名稱
Catalan,加泰羅尼亞文,語言名稱，介面中稱文不稱語
Catamarca,卡達馬卡,洲、國家/地區、城市名稱
category,分類,
category base,分類目錄起點,
caution,警告,
Cayenne,開雲,洲、國家/地區、城市名稱
Cayman,開曼群島,洲、國家/地區、城市名稱
Cayman Islands dollar,開曼群島元,貨幣名稱
CDN,內容傳遞網路,
Cebuano,宿霧文,語言名稱，介面中稱文不稱語
cell,儲存格,
Center,中心市,洲、國家/地區、城市名稱
Central African CFA franc,中非法郎,貨幣名稱
Central Kurdish,中部庫德文,語言名稱，介面中稱文不稱語
certificate,憑證,
Ceuta,修達,洲、國家/地區、城市名稱
CFP franc,太平洋法郎,貨幣名稱
Chagos,查哥斯,洲、國家/地區、城市名稱
chain,鏈結,
Chamorro,查莫羅文,語言名稱，介面中稱文不稱語
changelog,變更記錄,
channel,頻道,
character,字元,
character set,字元集,
chart,圖表,
Chatham,查塔姆群島,洲、國家/地區、城市名稱
cheat sheet,速查表,
Cheatin' uh?,很抱歉，無法進行這項操作。,
Cheatin&#8217; uh?,很抱歉，無法進行這項操作。,
Cheating uh?,很抱歉，無法進行這項操作。,
Chechen,車臣文,語言名稱，介面中稱文不稱語
checkbox,核取方塊,
checker,檢查程式,
checklist,檢查清單,
checkout,結帳,
checkout,簽出,適用於 SVN、Git 或 GitHub
Chicago,芝加哥,洲、國家/地區、城市名稱
Chichewa,齊切瓦文,語言名稱，介面中稱文不稱語
Chihuahua,赤瓦瓦,洲、國家/地區、城市名稱
child theme,子佈景主題,
Chilean peso,智利披索,貨幣名稱
Chinese,中文,語言名稱，介面中稱文不稱語
Chinese (China),中文 (中國),語言名稱，介面中稱文不稱語
Chinese (Hong Kong),中文 (香港),語言名稱，介面中稱文不稱語
Chinese (Taiwan),中文 (台灣),語言名稱，介面中稱文不稱語
Chinese yuan,中國人民幣,貨幣名稱
Chisinau,奇西瑙,洲、國家/地區、城市名稱
Chita,赤塔,洲、國家/地區、城市名稱
Choibalsan,喬巴山,洲、國家/地區、城市名稱
Chongqing,重慶,洲、國家/地區、城市名稱
choose,選取,
Christmas,聖誕島,洲、國家/地區、城市名稱
Chungking,重慶,洲、國家/地區、城市名稱
Church Slavic,古教會斯拉夫文,語言名稱，介面中稱文不稱語
Chuuk,楚克島,洲、國家/地區、城市名稱
Chuvash,楚瓦什文,語言名稱，介面中稱文不稱語
circle,圓圈,適用於形狀
citation,引文,
CJK Decimal,中日韓文小數,語言名稱，介面中稱文不稱語
CJK Ideographic,中日韓表意字元,語言名稱，介面中稱文不稱語
classic,舊式,
classic,傳統,
classic editor,傳統編輯器,
click,點擊,操作鍵盤、滑鼠及螢幕
client,用戶端,
client,客戶,
Clubhouse,Clubhouse,社交網路服務平台名稱
CMS,CMS,一般來說，CMS 會是 Content Management System (內容管理系統) 的縮寫
Cocos,可可斯群島,洲、國家/地區、城市名稱
Code,程式碼,
code editor,程式碼編輯器,
code snippet,程式碼片段,
codebase,程式碼基底,適用於程式開發
collaborate,協同合作,
collaboration,協同合作,
collapse,收合,
collation,定序,適用於程式開發及資料庫
Colombian peso,哥倫比亞披索,貨幣名稱
Colombo,可倫坡,洲、國家/地區、城市名稱
colon,冒號,適用於標點符號 :
color,色彩,
color scheme,色彩配置,
column,行,
column,資料行,
comfirmation,確認,
comma,逗號,"適用於標點符號 ,"
command prompt,命令提示字元,
comment,留言,
ComodRivadavia,科木多洛,洲、國家/地區、城市名稱
Comorian franc,葛摩法郎,貨幣名稱
Comoro,葛摩,洲、國家/地區、城市名稱
compile,編譯,
compliance,合規性,
component,元件,
Conakry,科納克里,洲、國家/地區、城市名稱
config file,組態檔案,
configure,組態,
confirm,確認,
Congolese franc,剛果法郎,貨幣名稱
connection type,連線類型,
constant,常數,適用於程式開發
constructor,建構函式,
contact form,聯絡表單,
container,容器,
content,內容,
content delivery network,內容傳遞網路,
Content Management System,內容管理系統,
continue,繼續,
contributor,投稿者,適用於 WordPress 預設使用者角色
contributor,參與者,
control,控制項,適用於程式開發
control,控制,
Cookie,Cookie,適用於搜尋引擎及瀏覽器相關內容
Cookies,Cookie,適用於搜尋引擎及瀏覽器相關內容
coordinate,座標,
Copenhagen,哥本哈根,洲、國家/地區、城市名稱
Coral Harbour,珊瑚港,洲、國家/地區、城市名稱
Cordoba,科多瓦,洲、國家/地區、城市名稱
Core,核心程式,適用於說明 WordPress 核心程式
Cornish,康沃耳文,語言名稱，介面中稱文不稱語
Corsican,科西嘉文,語言名稱，介面中稱文不稱語
Costa Rica,哥斯大黎加,洲、國家/地區、城市名稱
Costa Rican col&oacute;n,哥斯大黎加科郎,貨幣名稱
counter,計數器,
coupon code,優惠代碼,
CPT,CPT,CPT 通常是 Custom Post Type (自訂內容類型) 的縮寫
CPT,自訂內容類型,CPT 通常是 Custom Post Type (自訂內容類型) 的縮寫
crawl,檢索,
crawler,檢索器,
create,建立,
Creative Commons,創用 CC,
credentials,認證,
Cree,克里文,語言名稱，介面中稱文不稱語
Creston,克雷斯頓,洲、國家/地區、城市名稱
Croatian,克羅埃西亞文,語言名稱，介面中稱文不稱語
Croatian kuna,克羅埃西亞庫納,貨幣名稱
crop,裁剪,
CSS,CSS,CSS 是 Cascading Style Sheets (階層式樣式表) 的縮寫
CTA,行動號召,
Cuban convertible peso,古巴可兌換披索,貨幣名稱
Cuban peso,古巴披索,貨幣名稱
Cuiaba,古雅巴,洲、國家/地區、城市名稱
Curacao,古拉果,洲、國家/地區、城市名稱
current,目前,
Currie,柯里,洲、國家/地區、城市名稱
custom,自訂,
custom color,自訂色彩,
custom field,自訂欄位,
custom post type,自訂內容類型,
customer,客戶,
customize,自訂,
customizer,外觀自訂器,
Czech,捷克文,語言名稱，介面中稱文不稱語
Czech koruna,捷克克朗,貨幣名稱
Dacca,達卡,洲、國家/地區、城市名稱
Dakar,達卡,洲、國家/地區、城市名稱
Damascus,大馬士革,洲、國家/地區、城市名稱
Danish,丹麥文,語言名稱，介面中稱文不稱語
Danish krone,丹麥克朗,貨幣名稱
Danmarkshavn,格陵蘭,洲、國家/地區、城市名稱
Dar es Salaam,達萊撒蘭,洲、國家/地區、城市名稱
dark mode,深色模式,
Darwin,達爾文,洲、國家/地區、城市名稱
dashboard,控制台,
dashboard widget,控制台小工具,
data,資料,
data erasure request,個人資料清除要求,
database,資料庫,
database collation,資料庫定序,適用於資料庫
database host,資料庫主機位址,
database name,資料庫名稱,
date format,日期格式,
Davis,戴維斯站,洲、國家/地區、城市名稱
Dawson,道森市,洲、國家/地區、城市名稱
Dawson Creek,道森河市,洲、國家/地區、城市名稱
deactivate,停用,
Debian,Debian,Linux 發行版本名稱
debug,偵錯,
decimal,小數,
decimal leading zero,以零開頭小數,
declare,宣告,
decompile,反向編譯,
default,預設,
default,預設值,
default theme,預設佈景主題,
delete,刪除,
Denver,丹佛,洲、國家/地區、城市名稱
deploy,部署,
deployment,部署,
deprecated,淘汰不用,
descending,降冪,
detail,詳細資料,
details,詳細資料,
Detroit,底特律,洲、國家/地區、城市名稱
develop,開發,
developer,開發者,
development,開發,
development,開發工作,
device,裝置,
Dhaka,達卡,洲、國家/地區、城市名稱
Dhivehi,迪培希文,語言名稱，介面中稱文不稱語
Dili,帝利,洲、國家/地區、城市名稱
directive,指示詞,
directory,目錄,
disable,停用,
disassemble,反向組譯,
disc,圓點,適用於形狀
discard,捨棄,
discount,折扣,
display,顯示,
display,顯示方式,
Divehi,迪維西文,語言名稱，介面中稱文不稱語
divider,分隔線,
Djibouti,吉布地,洲、國家/地區、城市名稱
Djiboutian franc,吉布地法郎,貨幣名稱
domain,網域,
domain,網域名稱,
domain name,網域名稱,
Dominica,多明尼加,洲、國家/地區、城市名稱
Dominican peso,多明尼加披索,貨幣名稱
donate,贊助,
donation,贊助,
Douala,杜阿拉,洲、國家/地區、城市名稱
double click,點擊兩下,
double-click,點擊兩下,
down arrow key,向下鍵,鍵盤按鍵名稱
download,下載,
draft,草稿,
drag,拖曳,
drag and drop,拖放,
dropin,強化外掛,
drop-in,強化外掛,
Dubai,杜拜,洲、國家/地區、城市名稱
Dublin,都柏林,洲、國家/地區、城市名稱
DumontDUrville,迪蒙·迪維爾站,洲、國家/地區、城市名稱
Dushanbe,杜尚貝,洲、國家/地區、城市名稱
English,荷蘭文,語言名稱，介面中稱文不稱語
Dutch (Belgium),荷蘭文 (比利時),語言名稱，介面中稱文不稱語
Dutch (Formal),荷蘭文 (正式),語言名稱，介面中稱文不稱語
Dzongkha,宗卡文,語言名稱，介面中稱文不稱語
E.g.,範例,
Earthly Branch,地支,
East Caribbean dollar,東加勒比元,貨幣名稱
Easter,復活節島,洲、國家/地區、城市名稱
eBay,eBay,
eCommerce,電子商務,
editor,編輯,適用於 WordPress 預設使用者角色，同時也適用於其他狀況
editor,編輯器,
editor style,編輯器樣式,
Edmonton,艾德蒙頓,洲、國家/地區、城市名稱
education,教育,
Efate,愛發提,洲、國家/地區、城市名稱
Egyptian pound,埃及鎊,貨幣名稱
Eirunepe,埃魯內佩,洲、國家/地區、城市名稱
El Aaiun,阿尤恩,洲、國家/地區、城市名稱
El Salvador,薩爾瓦多,洲、國家/地區、城市名稱
element,元素,
email,電子郵件地址,有時候開發者會將 Email Address 寫為 Email。請注意，Email 該譯為「電子郵件地址」時，就譯為「電子郵件地址」
email,電子郵件,
email address,電子郵件地址,
embed block,嵌入內容區塊,適用於區塊編輯器、全站編輯相關內容
Emoji,Emoji 表情符號,
emoticon,表情符號,
empty value,空值,
enable,啟用,
encrypt,加密,
encryption,加密,
encryption,加密方式,
Enderbury,恩德伯里島,洲、國家/地區、城市名稱
English,英文,語言名稱，介面中稱文不稱語
English (Australia),英文 (澳大利亞),語言名稱，介面中稱文不稱語
English (Canada),英文 (加拿大),語言名稱，介面中稱文不稱語
English (New Zealand),英文 (紐西蘭),語言名稱，介面中稱文不稱語
English (South Africa),英文 (南非),語言名稱，介面中稱文不稱語
English (UK),英文 (英國),語言名稱，介面中稱文不稱語
English (United States),英文 (美國),語言名稱，介面中稱文不稱語
enlarge,放大,
Ensenada,恩瑟納達,洲、國家/地區、城市名稱
enter,輸入,
Enter,Enter 鍵,鍵盤按鍵名稱
Eritrean nakfa,厄利垂亞奈克法,貨幣名稱
error,錯誤,
error message,錯誤訊息,
Esperanto,世界文,語言名稱，介面中稱文不稱語
Estonian,愛沙尼亞文,語言名稱，介面中稱文不稱語
Etc,其他,
Ethiopian birr,衣索比亞比爾,貨幣名稱
Ethiopic,衣索比亞文,語言名稱，介面中稱文不稱語
Eucla,尤克拉,洲、國家/地區、城市名稱
Euro,歐元,貨幣名稱
Europe,歐洲,洲、國家/地區、城市名稱
Ewe,埃維文,語言名稱，介面中稱文不稱語
excerpt,內容摘要,
existing,現有,
expand,展開,
export,匯出,
export as,匯出為,
extension,擴充功能,
extension,副檔名,
Facebook,Facebook,社交網路服務平台名稱
Facebook Messenger,Facebook Messenger,通訊軟體名稱
Faeroe,法羅群島,洲、國家/地區、城市名稱
Fakaofo,法克奧佛,洲、國家/地區、城市名稱
Falkland Islands pound,福克蘭群島鎊,貨幣名稱
fallback,後援,
fallback chain,後援鏈結,
false positive,誤判,
Famagusta,法馬古斯塔,洲、國家/地區、城市名稱
FAQ,常見問題集,
Faroe,法羅群島,洲、國家/地區、城市名稱
Faroese,法羅文,語言名稱，介面中稱文不稱語
fatal,嚴重,
fatal error,嚴重錯誤,
favicon,網站圖示,
favorites,我的最愛,
featured,精選,
featured image,精選圖片,
featured post,精選內容,
feed,資訊提供,
feedback,意見反應,
field,欄位,
field data,欄位資料,
Fiji,斐濟,洲、國家/地區、城市名稱
Fijian,斐濟文,語言名稱，介面中稱文不稱語
Fijian dollar,斐濟元,貨幣名稱
file,檔案,
File Transfer Protocol,檔案傳輸通訊協定,
filename,檔案名稱,
filter,濾鏡,適用於多媒體處理
filter,篩選器,適用於程式開發
filter,篩選,
filter,篩選條件,
filter hook,篩選器勾點,適用於區塊編輯器、全站編輯相關內容
Finnish,芬蘭文,語言名稱，介面中稱文不稱語
flag,標幟,適用於程式開發
flag,標幟,
flag,旗標,適用於程式開發
flag,標示,
flip horizontal,水平翻轉,
flip vertical,垂直翻轉,
focal point,焦點,
folder,資料夾,
font,字型,適用於字型相關內容
font face,字型定義,適用於字型相關內容
font family,字型系列,適用於字型相關內容
font name,字型名稱,適用於字型相關內容
font size,字型大小,適用於字型相關內容
font variant,字型變體,適用於字型相關內容
font weight,字型粗細,適用於字型相關內容
footer,頁尾,
footnote,註腳,
foreground,前景,
form,表單,
Fort Nelson,納爾遜堡,洲、國家/地區、城市名稱
Fort Wayne,韋恩堡,洲、國家/地區、城市名稱
Fortaleza,福塔力沙,洲、國家/地區、城市名稱
forum,論壇,
framework,架構,
Freetown,自由城,洲、國家/地區、城市名稱
French,法文,語言名稱，介面中稱文不稱語
French (Belgium),法文 (比利時),語言名稱，介面中稱文不稱語
French (Canada),法文 (加拿大),語言名稱，介面中稱文不稱語
French (France),法文 (法國),語言名稱，介面中稱文不稱語
frequently asked questions,常見問題集,
Frisian,夫里斯蘭文,語言名稱，介面中稱文不稱語
Friulian,佛裡烏裡文,語言名稱，介面中稱文不稱語
front end,前端,
front-end,前端,
FTP,FTP,適用於通訊協定，FTP 是 File Transfer Protocol (檔案傳輸通訊協定) 的縮寫
Fulah,富拉赫文,語言名稱，介面中稱文不稱語
full site editing,全站編輯,適用於區塊編輯器、全站編輯相關內容
Funafuti,富納富提,洲、國家/地區、城市名稱
function,函式,適用於程式開發
funnel,漏斗,
Gaborone,嘉柏隆里,洲、國家/地區、城市名稱
Galapagos,加拉巴哥群島,洲、國家/地區、城市名稱
Galician,加里西亞文,語言名稱，介面中稱文不稱語
gallery,圖庫,
Gambian dalasi,甘比亞達拉西,貨幣名稱
Gambier,甘比爾群島,洲、國家/地區、城市名稱
Ganda,干達文,語言名稱，介面中稱文不稱語
Gaza,加薩,洲、國家/地區、城市名稱
GDPR,GDPR,GDPR 是 General Data Protection Regulation (一般資料保護規定) 的縮寫
General Data Protection Regulation,一般資料保護規定,
General Public License,通用公眾授權,
generator,產生器,
Georgian,喬治亞文,語言名稱，介面中稱文不稱語
Georgian lari,喬治亞拉里,貨幣名稱
German,德文,語言名稱，介面中稱文不稱語
German (Austria),德文 (奧地利),語言名稱，介面中稱文不稱語
German (Formal),德文 (正式),語言名稱，介面中稱文不稱語
German (Switzerland),德文 (瑞士),語言名稱，介面中稱文不稱語
"German (Switzerland, Informal)",德文 (瑞士，非正式),語言名稱，介面中稱文不稱語
Ghana cedi,迦納塞地,貨幣名稱
Gibraltar,直布羅陀,洲、國家/地區、城市名稱
Gibraltar pound,直布羅陀鎊,貨幣名稱
GitHub,GitHub,原始程式碼存放庫服務名稱
GitLab,GitLab,原始程式碼存放庫服務名稱
Glace Bay,格萊斯貝,洲、國家/地區、城市名稱
GMT,格林威治標準時間 (GMT),
GMT+0,GMT+0,
GMT+1,GMT+1,
GMT+10,GMT+10,
GMT+11,GMT+11,
GMT+12,GMT+12,
GMT+2,GMT+2,
GMT+3,GMT+3,
GMT+4,GMT+4,
GMT+5,GMT+5,
GMT+6,GMT+6,
GMT+7,GMT+7,
GMT+8,GMT+8,
GMT+9,GMT+9,
GMT0,GMT0,
GMT-0,GMT-0,
GMT-1,GMT-1,
GMT-10,GMT-10,
GMT-11,GMT-11,
GMT-12,GMT-12,
GMT-13,GMT-13,
GMT-14,GMT-14,
GMT-2,GMT-2,
GMT-3,GMT-3,
GMT-4,GMT-4,
GMT-5,GMT-5,
GMT-6,GMT-6,
GMT-7,GMT-7,
GMT-8,GMT-8,
GMT-9,GMT-9,
GNU General Public License,GNU 通用公眾授權,
go back,返回,
Godthab,哥特哈布,洲、國家/地區、城市名稱
Google,Google,
Google Analytics,Google Analytics,建議保留服務英文名稱
Google Analytics,Google 分析,Google 台灣官方譯文，但是不建議使用
Google Docs,Google Docs,
